run_id,pipeline,pipeline_mode,benchmark_mode,platform_label,system,machine,python_version,logical_cpu_count,input_file,configured_message_rate,duration_seconds,target_messages,measured_messages,achieved_message_rate,warmup_messages_total,warmup_device_counts,failed_messages,deadline_misses,deadline_miss_rate,elapsed_seconds,total_latency_mean_ms,total_latency_p95_ms,model_inference_mean_ms,process_peak_memory_before_mb,process_peak_memory_after_mb,temperature_before_c,temperature_after_c,throttled_before,throttled_after,process_cpu_seconds,cpu_time_per_message_ms,cpu_percent_single_core_equivalent,cpu_percent_total_machine_capacity
3,open_set,open_set,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,25.0,20.0,500,500,24.999926020219124,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000059183999838,30.006734954013154,30.182224449526984,28.35147247199893,167.015625,167.015625,58.7,58.7,0x0,0x0,15.011717710000003,30.023435420000006,75.05836643728266,18.764591609320664
4,open_set,open_set,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,25.0,20.0,500,500,24.999926913964078,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.00005846899967,29.760104304006745,29.967294500056596,28.120572588011782,167.015625,167.015625,60.4,60.4,0x0,0x0,14.887488445999999,29.774976891999998,74.43722461649692,18.60930615412423
5,open_set,open_set,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,25.0,20.0,500,500,24.99992701396357,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000058388999605,30.680797722021453,30.87745644975257,29.024285962008435,167.0,167.0,61.5,61.5,0x0,0x0,15.347420963000001,30.694841926000002,76.73688078551491,19.184220196378728
1,random_forest,comparison,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,3.0,20.0,60,60,2.9999908138782097,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000061240999457,37.002759799997875,43.149165050408556,34.82593338335391,175.734375,175.734375,54.9,52.1,0x0,0x0,2.2203433660000007,37.00572276666668,11.101682836092376,2.775420709023094
2,random_forest,comparison,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,3.0,20.0,60,60,2.999991380124795,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000057465999816,37.159265066702574,43.438201600201864,34.97026790005293,175.734375,175.734375,57.6,56.5,0x0,0x0,2.229534428999999,37.15890714999999,11.147640114485757,2.786910028621439
3,random_forest,comparison,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,3.0,20.0,60,60,2.9999885583436297,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.00007627800005,37.0146216667005,43.48311455023577,34.83637639992594,175.71875,175.71875,57.1,55.4,0x0,0x0,2.221186563,37.01977605,11.105890458244353,2.7764726145610883
4,random_forest,comparison,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,3.0,20.0,60,60,2.999991165776058,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.00005889499971,37.36629400003343,43.408821899765826,35.146006333313075,175.734375,175.734375,59.8,57.6,0x0,0x0,2.2422502380000005,37.370837300000005,11.211218175765442,2.8028045439413605
5,random_forest,comparison,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,3.0,20.0,60,60,2.999991055076657,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.00005963300009,37.08705961671512,43.0575144496288,34.92070821671405,175.71875,175.71875,58.7,56.0,0x0,0x0,2.225625225,37.09375375,11.128092944921619,2.7820232362304047
1,random_forest,comparison,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,10.0,20.0,200,200,9.999970388087524,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000059224000324,33.488058160000946,36.250338499485224,31.470768869976382,175.71875,175.71875,55.4,53.2,0x0,0x0,6.699054834,33.49527417,33.49517498408729,8.373793746021823
2,random_forest,comparison,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,10.0,20.0,200,200,9.999970831084783,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.0000583380006,33.58958426503705,36.20489885047391,31.608417274956082,175.734375,175.734375,58.7,57.1,0x0,0x0,6.719563867000001,33.597819335000004,33.59772133380564,8.39943033345141
3,random_forest,comparison,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,10.0,20.0,200,200,9.999970468587334,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000059062999753,33.676979785018375,36.29031735013086,31.65152132996809,175.734375,175.734375,58.2,57.6,0x0,0x0,6.737182206000001,33.68591103,33.68581155074604,8.42145288768651
4,random_forest,comparison,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,10.0,20.0,200,200,9.99997100108427,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000057997999647,34.4351548399618,37.1451460499884,32.40630330001295,175.71875,175.71875,59.8,57.6,0x0,0x0,6.887583989,34.437919945,34.437820078766165,8.609455019691541
5,random_forest,comparison,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,10.0,20.0,200,200,9.999970539587073,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000058920999436,33.45036448502469,36.03361230025257,31.442385810014457,175.734375,175.734375,59.8,58.2,0x0,0x0,6.691803623,33.459018115,33.45891954335102,8.364729885837756
1,random_forest,comparison,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,25.0,20.0,500,500,24.999927536459555,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000057971000388,27.183916792013406,27.43019800013826,25.57780273001481,175.734375,175.734375,56.0,56.0,0x0,0x0,13.598110891000001,27.196221782000002,67.99035738154829,16.997589345387073
2,random_forest,comparison,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,25.0,20.0,500,500,24.999926748964516,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.00005860100009,27.237993810009357,27.474152600689195,25.614524679978786,175.71875,175.71875,57.6,58.2,0x0,0x0,13.626383238999999,27.252766477999998,68.13171656566355,17.032929141415888
3,random_forest,comparison,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,25.0,20.0,500,500,24.999928283955295,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000057373000345,27.160441596000965,27.391577099251663,25.55031911203696,175.75,175.75,57.6,59.3,0x0,0x0,13.586932215999997,27.173864431999995,67.93446619979235,16.98361654994809
4,random_forest,comparison,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,25.0,20.0,500,500,24.99992756771075,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.000057945999288,28.379519156012975,28.579164350367137,26.7394357399844,175.71875,175.71875,59.8,59.3,0x0,0x0,14.196627445,28.39325489,70.9829315661549,17.745732891538726
5,random_forest,comparison,fixed_incoming_message_rate,raspberry_pi_5_model_b,Linux,aarch64,3.11.15,4,data/raw/multiview_v2_runs/gradual_run_01.csv,25.0,20.0,500,500,24.99992895895226,102,"{'meter_01': 34, 'meter_02': 34, 'meter_03': 34}",0,0,0.0,20.00005683299969,27.222781528025735,27.441316899876256,25.615557723991515,175.71875,175.71875,59.8,59.3,0x0,0x0,13.617678589999999,27.235357179999998,68.08819946716903,17.02204986679226
